SAST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2014-1-1,82,73,64,66,63,59,88,71,45,29.92,29.85,29.77,12,8,6,22,9,,0.00,2,,213
2014-1-2,82,74,65,66,64,61,88,74,46,29.92,29.85,29.80,16,8,6,20,13,,0.00,2,,204
2014-1-3,81,74,67,66,65,64,94,75,48,29.83,29.80,29.74,19,7,2,20,16,,0.00,4,,193
2014-1-4,80,72,65,66,64,57,88,74,46,29.75,29.72,29.68,16,8,6,20,11,,0.00,3,,314
2014-1-5,79,72,65,63,60,57,83,70,46,29.72,29.65,29.62,16,8,6,28,13,,0.00,4,Rain,25
2014-1-6,78,71,64,66,61,57,94,78,61,29.83,29.77,29.74,16,7,2,26,11,,0.24,6,Rain,171
2014-1-7,76,70,64,64,62,61,88,77,59,29.86,29.81,29.77,19,8,6,28,18,,0.08,4,Rain,162
2014-1-8,76,70,64,65,62,60,94,82,62,29.89,29.82,29.77,12,6,0,18,10,29,0.00,5,Fog-Rain,295
2014-1-9,74,68,61,61,59,57,88,75,48,29.92,29.83,29.80,19,8,4,25,12,,0.20,4,Rain,326
2014-1-10,74,68,61,61,55,53,88,65,40,30.09,30.02,29.95,19,7,6,23,15,,0.00,2,Rain,180
2014-1-11,73,66,59,55,54,52,82,61,43,30.09,30.04,30.01,19,10,6,21,12,,0.00,1,,189
2014-1-12,76,68,60,61,55,52,78,61,41,30.19,30.10,30.04,19,8,6,21,12,,0.00,1,,176
2014-1-13,80,72,63,57,55,52,73,54,36,30.18,30.07,29.95,19,8,6,25,19,,0.00,1,,177
2014-1-14,90,72,55,64,56,50,88,58,22,29.95,29.81,29.71,19,12,6,16,10,,0.00,2,,197
2014-1-15,79,72,66,64,59,57,88,67,44,30.01,29.92,29.80,19,9,6,18,13,,0.00,4,,188
2014-1-16,77,70,62,61,59,57,83,69,44,30.09,30.04,29.98,19,17,16,17,11,,0.00,,,196
2014-1-17,79,72,64,64,61,58,83,67,50,30.13,30.07,30.04,19,10,6,21,15,,0.00,1,,186
2014-1-18,78,72,65,59,58,57,78,63,42,30.09,30.02,29.98,12,7,6,26,16,,0.00,1,,190
2014-1-19,78,70,63,60,58,56,83,66,47,30.06,30.00,29.95,19,9,6,28,14,,0.00,1,,203
2014-1-20,80,72,64,63,59,57,77,64,41,30.08,30.05,30.01,19,8,6,30,20,38,0.00,1,,188
2014-1-21,87,77,67,64,60,57,78,58,31,30.04,29.94,29.83,6,6,6,22,15,28,0.00,1,,207
2014-1-22,88,76,64,68,63,58,83,66,35,29.83,29.77,29.74,12,7,6,22,9,,0.00,4,,201
2014-1-23,76,70,64,65,62,59,88,73,51,29.86,29.82,29.77,16,7,5,21,11,,0.00,2,,314
2014-1-24,77,70,64,63,60,54,94,69,41,30.04,29.90,29.83,16,7,4,20,10,,0.00,4,Rain,288
2014-1-25,78,70,61,59,56,54,77,61,37,30.04,30.01,29.98,16,7,6,25,11,,0.00,2,,180
2014-1-26,87,76,64,64,59,50,83,62,32,29.98,29.91,29.86,19,9,6,25,12,,0.00,1,,200
2014-1-27,82,74,66,68,65,63,88,74,53,29.86,29.83,29.80,19,9,6,25,13,,0.00,4,,210
2014-1-28,81,73,65,66,65,63,94,79,60,29.89,29.83,29.77,12,8,5,13,8,,0.03,3,Rain,251
2014-1-29,84,74,64,66,64,61,88,70,42,29.94,29.85,29.77,16,7,6,23,9,,0.00,1,,196
2014-1-30,87,78,69,66,63,59,73,59,40,29.95,29.90,29.86,19,8,6,23,17,,0.00,1,,169
2014-1-31,95,82,68,68,64,59,73,56,28,29.89,29.77,29.65,6,6,6,15,8,,0.00,1,,205
2014-2-1,82,73,64,66,63,60,88,68,51,29.99,29.84,29.71,16,8,6,18,12,,0.00,4,,290
2014-2-2,77,70,64,61,57,54,83,61,40,30.01,29.98,29.95,19,8,6,29,15,,0.00,2,,173
2014-2-3,84,74,64,64,59,55,78,61,38,29.92,29.83,29.74,19,11,6,25,18,,0.00,1,,188
2014-2-4,80,73,66,66,61,57,83,69,51,29.86,29.76,29.68,19,9,6,25,14,31,0.00,2,,203
2014-2-5,75,69,63,61,58,55,83,68,50,29.92,29.87,29.83,19,8,6,26,13,38,0.00,1,,190
2014-2-6,81,72,63,64,60,57,88,67,44,29.89,29.85,29.83,19,9,6,20,11,,0.00,1,,200
2014-2-7,76,68,59,64,61,57,94,75,53,29.92,29.82,29.77,19,8,4,23,11,,0.02,3,Rain,305
2014-2-8,76,68,59,61,56,50,94,66,33,29.96,29.93,29.89,16,8,0,15,7,,0.00,3,Fog-Rain,232
2014-2-9,77,68,58,60,55,52,77,62,43,29.92,29.89,29.86,16,8,6,16,8,,0.00,3,,308
2014-2-10,83,73,63,61,55,39,88,62,13,29.94,29.89,29.83,19,8,6,12,6,,0.00,4,,327
2014-2-11,82,68,55,63,58,52,94,67,39,29.92,29.88,29.83,19,13,1,10,6,,0.00,,Fog,355
2014-2-12,86,75,64,66,64,61,94,70,39,29.89,29.86,29.83,19,10,6,13,7,,0.00,2,,186
2014-2-13,77,72,68,66,62,59,88,71,57,30.04,29.97,29.89,12,8,6,28,16,,0.00,3,,184
2014-2-14,91,79,67,68,64,59,83,60,36,30.01,29.97,29.91,19,8,6,22,13,,0.00,1,,172
2014-2-15,92,82,71,70,67,64,78,64,36,29.95,29.91,29.80,16,10,6,21,10,,0.00,1,,195
2014-2-16,96,82,68,70,67,63,83,61,38,29.89,29.80,29.71,19,14,6,18,11,,0.00,1,,202
2014-2-17,85,78,71,70,67,61,88,69,39,29.91,29.80,29.71,19,9,6,21,8,,0.00,4,,205
2014-2-18,88,80,71,70,68,64,94,68,43,29.93,29.89,29.83,19,8,6,26,19,,0.00,1,,174
2014-2-19,77,72,67,66,64,61,83,72,61,29.89,29.82,29.77,19,9,6,24,11,,0.04,3,,264
2014-2-20,74,68,62,63,53,48,88,59,36,30.09,29.97,29.89,19,8,2,22,14,,0.00,3,Rain,177
2014-2-21,78,70,61,57,54,48,68,55,34,30.09,30.04,29.98,19,9,6,25,16,,0.00,1,,178
2014-2-22,80,71,62,63,60,57,82,67,43,29.98,29.97,29.92,19,8,6,23,12,,0.00,1,,199
2014-2-23,81,72,64,66,62,59,83,68,41,29.98,29.96,29.92,19,8,6,26,16,,0.00,1,,191
2014-2-24,85,76,66,65,63,61,88,68,41,29.99,29.95,29.92,19,7,6,30,22,39,0.00,1,,166
2014-2-25,91,78,66,63,60,57,73,55,30,29.98,29.94,29.89,19,8,6,25,16,,0.00,1,,158
2014-2-26,93,80,68,62,60,58,69,54,26,29.89,29.81,29.74,19,10,6,15,9,,0.00,1,,203
2014-2-27,87,73,59,62,58,55,82,59,29,29.77,29.73,29.68,19,13,4,15,7,,0.00,,,283
