BRST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2014-1-1,91,84,78,81,77,73,89,76,59,29.83,29.78,29.74,6,6,6,14,7,,0.00,1,,99
2014-1-2,87,81,75,79,76,73,94,80,66,29.80,29.76,29.71,6,6,4,16,9,,0.00,4,Rain,121
2014-1-3,93,86,80,82,77,72,89,72,49,29.80,29.76,29.71,6,6,6,14,7,,0.00,1,,98
2014-1-4,91,86,80,81,78,75,89,78,59,29.98,29.91,29.86,6,6,6,21,10,,0.00,2,,161
2014-1-5,87,82,77,75,74,73,94,77,66,30.01,29.97,29.92,6,6,6,15,9,,0.00,2,,159
2014-1-6,95,85,75,81,74,68,94,75,59,30.01,29.90,29.77,6,6,4,14,7,,0.00,4,Rain,92
2014-1-7,87,81,75,73,70,68,83,69,52,30.01,29.95,29.89,6,6,6,13,7,,0.00,1,,115
2014-1-8,91,83,75,73,70,66,83,62,43,29.95,29.89,29.83,,,,9,6,,0.00,,,18
2014-1-9,89,84,78,77,73,70,89,73,55,29.92,29.88,29.83,6,6,6,15,8,,0.00,3,,132
2014-1-10,89,83,77,73,73,72,83,71,59,29.95,29.89,29.83,6,6,6,14,6,,0.00,1,,149
2014-1-11,95,86,77,77,74,72,84,66,49,29.95,29.89,29.83,6,6,6,10,6,,0.00,1,,68
2014-1-12,84,80,77,77,74,72,89,78,66,30.01,29.97,29.92,6,6,6,15,9,,0.00,2,,160
2014-1-13,89,81,73,75,73,72,100,73,55,30.04,29.99,29.89,6,6,5,14,7,,0.00,2,,164
2014-1-14,89,81,73,77,73,72,94,76,55,30.01,29.94,29.86,6,6,5,15,6,,0.00,1,Thunderstorm,157
2014-1-15,87,82,77,77,72,70,89,69,58,29.92,29.88,29.83,6,6,6,15,7,,0.00,1,,155
2014-1-16,87,79,71,75,72,70,100,82,55,30.01,29.90,29.83,6,4,0,31,10,54,0.00,4,Rain-Thunderstorm,162
2014-1-17,84,78,71,73,71,68,94,81,62,30.01,29.93,29.89,6,6,5,13,5,,0.00,5,Rain-Thunderstorm,140
2014-1-18,84,80,75,73,72,70,94,79,66,29.98,29.95,29.92,6,6,4,14,5,,0.00,3,,99
