IST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2014-1-1,64,57,50,52,50,46,87,71,59,30.12,30.10,30.06,6,6,4,8,6,,0.00,2,,62
2014-1-2,66,58,51,52,48,43,77,65,52,30.15,30.10,30.06,6,6,6,13,6,,0.00,0,,344
2014-1-3,64,58,51,54,49,45,82,67,49,30.12,30.08,30.04,6,4,4,7,5,,0.00,0,,300
2014-1-4,66,58,51,48,46,41,88,57,45,30.06,30.03,29.98,6,5,4,7,5,,0.00,0,,32
2014-1-5,68,62,55,43,42,41,63,51,37,30.12,30.07,30.01,6,6,6,8,6,,0.00,1,,60
2014-1-6,62,56,50,48,45,41,77,63,48,30.18,30.13,30.09,6,6,6,13,6,,0.00,1,,23
2014-1-7,69,58,48,45,35,27,76,42,20,30.12,30.07,30.04,6,6,6,10,6,,0.00,,,95
2014-1-8,71,62,53,30,29,27,36,29,19,30.01,29.97,29.92,,,,12,6,,0.00,,,101
2014-1-9,64,60,55,43,37,28,51,42,33,29.98,29.94,29.92,,,,8,6,,0.00,,,54
2014-1-10,62,58,53,54,49,45,88,72,59,30.12,30.05,29.98,6,6,5,9,5,,0.00,3,Rain-Thunderstorm,159
2014-1-11,64,58,53,55,51,48,94,72,56,30.24,30.20,30.15,6,6,6,9,5,,0.00,2,,311
2014-1-12,64,60,55,55,51,48,77,72,63,30.27,30.22,30.18,6,6,6,13,7,,0.00,3,Rain,166
2014-1-13,66,62,59,57,54,48,82,72,59,30.21,30.13,30.09,6,6,6,8,5,,0.00,1,,275
2014-1-14,68,62,57,59,53,48,82,73,68,30.04,29.99,29.95,6,5,4,9,5,,0.00,,,159
2014-1-15,66,60,53,55,52,46,82,73,64,30.12,30.09,30.06,6,5,4,8,6,,0.00,1,,24
2014-1-16,75,66,57,57,46,41,64,48,31,30.06,30.00,29.95,,,,12,5,,0.00,,,107
2014-1-17,68,62,55,57,52,45,73,67,59,30.12,30.05,29.98,6,6,6,10,6,,0.00,2,,196
2014-1-18,64,58,51,54,51,48,88,72,59,30.24,30.21,30.18,6,6,5,9,5,,0.00,1,,18
2014-1-19,66,60,53,55,52,48,82,73,64,30.27,30.20,30.15,6,5,4,13,7,,0.00,1,,41
2014-1-20,66,58,51,54,51,46,88,72,56,30.18,30.12,30.09,6,6,6,8,6,,0.00,1,,8
2014-1-21,68,60,51,55,50,45,82,68,49,30.09,30.06,30.01,,,,8,5,,0.00,,,352
2014-1-22,68,60,51,57,52,43,82,72,59,30.06,30.02,29.98,6,5,4,8,6,,0.00,2,,235
2014-1-23,68,62,57,57,54,52,88,72,60,30.12,30.08,30.06,6,6,5,10,6,,0.00,3,,243
2014-1-24,66,60,55,55,52,50,82,72,60,30.15,30.08,30.04,6,6,6,9,5,,0.00,1,,287
2014-1-25,68,60,51,59,51,46,82,66,46,30.01,29.92,29.83,,,,10,6,,0.00,,,35
2014-1-26,78,68,59,59,47,37,78,47,23,29.77,29.67,29.56,6,5,4,23,9,,0.00,2,,153
2014-1-27,68,64,59,55,50,45,82,63,49,29.74,29.70,29.65,6,6,6,10,6,,0.00,2,,195
2014-1-28,64,60,57,54,52,48,82,71,63,29.98,29.85,29.71,6,6,4,28,21,,0.00,4,Rain,227
2014-1-29,68,60,53,50,48,46,77,62,49,30.09,30.04,30.01,,,,9,7,,0.00,,,47
2014-1-30,68,60,51,55,49,41,77,66,37,30.18,30.14,30.09,6,6,6,10,6,,0.00,2,,61
2014-1-31,68,60,51,55,49,45,76,63,49,30.12,30.08,30.04,,,,16,7,,0.00,,,2
2014-2-1,68,60,51,55,50,41,77,65,42,30.04,29.98,29.92,,,,17,6,,0.00,,,354
2014-2-2,68,65,62,37,35,32,39,34,32,29.83,29.79,29.71,6,6,6,10,8,,0.00,,Rain,75
2014-2-3,64,60,55,48,43,37,63,53,48,29.95,29.85,29.74,6,6,6,12,8,,0.00,2,,41
2014-2-4,59,55,50,43,39,32,63,53,47,30.09,30.04,29.98,6,6,6,9,6,,0.00,2,,35
2014-2-5,59,52,46,36,30,28,50,41,34,30.12,30.08,30.04,,,,14,8,,0.00,,,48
2014-2-6,62,55,48,45,37,27,62,49,40,30.04,30.00,29.95,6,6,6,9,6,,0.00,2,,137
2014-2-7,62,54,46,43,39,36,66,52,42,30.09,30.06,30.04,6,6,6,14,7,,0.00,1,,10
2014-2-8,64,55,46,43,37,30,62,45,28,30.18,30.14,30.12,6,6,6,15,9,,0.00,1,,18
2014-2-9,68,58,48,48,39,32,63,47,30,30.21,30.15,30.12,,,,12,7,,0.00,,,359
2014-2-10,66,57,48,50,43,36,77,57,37,30.15,30.12,30.09,,,,10,6,,0.00,,,29
2014-2-11,64,57,50,54,50,43,77,70,56,30.15,30.11,30.06,6,6,6,12,7,,0.00,1,,357
2014-2-12,78,64,50,50,39,36,87,40,21,30.06,29.98,29.92,,,,12,5,,0.00,,,105
2014-2-13,71,66,60,54,44,32,56,45,27,29.92,29.90,29.86,,,,14,6,,0.00,,,327
2014-2-14,66,60,55,59,54,43,78,71,55,29.92,29.89,29.86,6,6,4,16,8,,0.00,4,Rain,255
2014-2-15,66,60,53,52,50,46,88,74,49,29.86,29.84,29.77,6,6,4,23,10,29,0.00,4,Rain,166
2014-2-16,62,60,57,52,51,48,82,71,63,30.06,29.96,29.83,6,6,6,16,5,,0.00,3,,337
2014-2-17,66,60,53,57,52,48,82,73,64,30.27,30.19,30.09,6,6,6,12,7,,0.00,2,,235
2014-2-18,64,58,53,55,52,50,88,73,64,30.30,30.28,30.24,6,6,6,15,7,,0.00,1,,10
2014-2-19,68,60,53,57,53,46,82,72,63,30.27,30.21,30.18,,,,15,6,,0.00,,,348
2014-2-20,68,60,51,61,56,46,94,83,64,30.15,30.10,30.06,6,3,0,8,4,,0.00,4,Fog,326
2014-2-21,71,62,53,59,51,45,78,61,41,30.06,29.98,29.92,6,5,4,7,5,,0.00,,,7
2014-2-22,82,71,60,61,54,39,83,61,23,29.92,29.85,29.80,6,4,2,13,7,,0.00,4,,222
2014-2-23,68,64,60,59,58,57,88,81,73,29.98,29.95,29.92,6,5,4,12,7,,0.00,2,,218
2014-2-24,68,62,57,61,57,54,94,80,73,29.95,29.93,29.89,6,4,3,12,6,,0.00,4,,242
2014-2-25,66,62,59,57,54,50,88,72,63,30.09,30.01,29.95,6,6,6,17,12,,0.00,4,Rain,232
2014-2-26,66,62,59,52,49,48,72,59,52,30.15,30.10,30.06,6,6,6,12,8,,0.00,2,,280
2014-2-27,66,60,53,54,48,46,77,61,52,30.12,30.11,30.09,6,6,6,13,7,,0.00,3,Rain,250
2014-2-28,66,60,53,50,48,46,77,62,52,30.15,30.09,30.04,6,6,6,14,7,,0.00,1,,356
2014-3-1,69,60,51,59,52,45,83,65,46,29.98,29.86,29.74,6,6,6,10,6,,0.00,1,,17
2014-3-2,77,68,60,57,49,37,73,49,24,29.92,29.82,29.65,5,2,1,15,6,,0.00,,Rain,224
2014-3-3,68,64,59,57,55,52,82,72,64,29.86,29.79,29.71,6,4,2,12,6,,0.00,1,,2
2014-3-4,69,64,60,59,53,45,72,62,43,29.95,29.86,29.74,6,5,4,16,9,,0.00,1,,233
2014-3-5,77,67,57,57,47,39,64,47,28,29.95,29.90,29.86,,,,12,7,,0.00,,,54
2014-3-6,73,68,62,64,55,36,88,68,25,30.04,29.99,29.89,6,4,2,13,8,,0.00,1,,269
2014-3-7,73,66,59,61,57,54,88,73,60,30.01,29.89,29.77,,,,16,9,,0.00,,,5
2014-3-8,82,74,64,63,55,36,88,63,20,29.89,29.83,29.68,6,6,5,13,8,,0.00,6,,312
2014-3-9,68,64,60,61,60,57,94,88,78,29.89,29.85,29.83,6,6,5,14,8,,0.00,4,Rain-Thunderstorm,331
2014-3-10,66,62,59,55,53,48,77,71,63,29.95,29.89,29.83,6,6,6,14,10,,0.00,4,Rain-Thunderstorm,245
